checking_account,duration,credit_history,purpose,amount,savings_account,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,gender,profit
1,18,4,4,1473,4,2,0,2,3,3,39,1,2,0,1,0,1,0,female,191
1,24,4,4,1533,4,2,2,2,1,0,38,2,2,0,1,0,1,0,female,172
1,12,0,7,2012,1,1,2,2,0,0,61,1,2,0,1,0,0,0,female,153
3,15,4,5,3959,4,0,0,2,0,1,29,1,2,0,1,0,1,0,female,-2317
3,6,4,2,428,4,3,1,2,2,1,49,0,2,0,1,0,1,0,female,35
0,12,0,5,2366,2,1,0,2,1,0,36,1,2,0,0,0,1,0,male,55
1,12,4,2,763,4,0,2,2,2,3,26,1,2,0,1,0,1,0,nonbinary/notreported,59
0,21,4,2,3976,1,1,1,2,1,0,35,1,2,0,1,0,1,0,male,236
0,18,4,5,6260,4,1,0,2,1,3,28,1,0,0,3,0,0,0,male,1711
0,9,0,2,1919,4,1,2,2,1,0,35,1,0,0,1,0,1,0,male,517
1,24,4,1,2603,3,0,1,2,3,0,28,1,0,0,1,0,1,0,female,262
1,9,0,7,936,2,3,2,2,0,0,52,1,2,1,1,0,1,0,male,185
1,24,4,2,3062,2,3,2,2,1,2,32,1,0,0,1,0,1,0,male,625
0,36,4,4,4795,4,2,2,2,2,2,30,1,2,0,0,0,1,0,female,1399
1,36,0,1,5842,4,3,1,2,0,1,35,1,2,1,1,1,1,0,male,1053
0,6,4,4,2063,4,2,2,2,1,0,30,1,0,0,0,0,1,0,female,24
1,15,0,4,1459,4,0,2,2,0,0,43,1,2,0,3,0,0,0,female,141
1,15,4,4,1213,2,3,2,2,1,1,47,2,2,0,1,0,1,0,male,254
1,24,0,4,5103,4,2,0,2,1,2,47,1,1,2,1,0,1,0,female,723
1,15,4,6,874,1,2,2,2,2,3,24,1,2,0,1,0,0,0,female,161
1,6,4,2,2978,2,0,3,2,0,0,32,1,2,0,1,0,1,0,male,840
1,18,4,5,1820,4,0,1,2,0,1,30,1,2,0,0,0,1,0,female,402
1,24,0,4,2872,0,3,0,2,3,3,36,1,2,0,1,1,1,0,male,306
2,24,4,2,1925,4,0,1,2,0,3,26,1,2,0,1,0,0,0,nonbinary/notreported,189
1,18,4,2,2515,4,0,0,2,3,3,43,1,2,0,1,0,1,0,male,340
2,6,4,2,2116,4,0,1,2,0,3,41,1,2,0,1,0,1,0,male,506
1,18,4,4,1453,4,2,0,2,2,3,26,1,2,0,1,0,0,0,female,434
1,10,4,5,1364,4,0,1,2,3,0,64,1,2,0,1,0,1,0,female,242
1,6,4,2,1543,3,0,2,2,0,3,33,1,2,0,1,0,0,0,male,414
0,12,4,5,1318,3,3,2,2,3,3,54,1,2,0,1,0,1,0,male,219
3,24,1,5,2325,0,1,1,2,1,0,32,0,2,0,1,0,0,0,male,486
0,6,0,9,932,1,1,3,2,1,1,39,1,2,1,3,0,0,0,female,256
2,24,0,4,3148,1,0,0,2,0,0,31,1,2,1,1,0,1,0,male,569
1,36,4,4,3835,1,3,1,2,3,3,45,1,2,0,3,0,1,0,female,133
1,9,4,7,3832,1,3,3,2,3,3,64,1,2,0,3,0,0,0,male,426
0,24,4,4,5084,1,3,1,2,3,0,42,1,2,0,1,0,1,0,female,1209
1,9,0,2,2406,4,4,1,2,1,0,31,1,2,0,0,0,0,0,nonbinary/notreported,22
1,36,4,4,2394,1,0,2,2,3,0,25,1,2,0,1,0,0,0,female,48
1,21,4,1,2476,1,3,2,2,3,3,46,1,2,0,0,0,1,0,male,483
3,24,4,1,2964,1,3,2,2,3,2,49,0,1,0,1,1,1,0,male,273
3,12,4,2,1262,1,3,1,2,3,1,49,1,2,0,3,0,1,0,male,251
1,12,4,8,1542,4,1,1,2,3,0,36,1,2,0,1,0,1,0,male,76
0,24,0,4,1743,4,3,2,2,0,1,48,1,2,1,3,0,0,0,male,225
2,12,1,4,409,3,0,0,2,1,3,42,1,0,1,1,0,0,0,female,98
1,12,4,4,2171,4,2,1,2,0,0,29,0,2,0,1,0,0,0,female,628
1,48,0,1,8858,1,1,1,2,2,2,35,1,1,1,1,0,1,0,male,861
0,24,4,5,3512,0,1,1,2,1,0,38,0,2,1,1,0,1,0,male,340
0,12,4,4,1158,2,0,0,2,2,0,26,1,2,0,1,0,1,0,male,172
1,24,0,4,2684,4,0,2,2,0,3,35,1,2,1,3,0,0,0,male,158
3,12,4,4,1498,4,0,2,2,2,0,23,0,2,0,1,0,0,0,female,310
1,30,0,4,5954,4,1,0,0,0,0,38,1,2,0,1,0,0,0,male,233
0,48,1,8,6416,4,3,2,2,1,2,59,1,0,0,1,0,0,0,female,-2157
0,12,0,2,3617,4,3,3,2,3,0,28,1,0,2,1,0,1,0,male,1314
1,12,0,4,1291,4,0,2,2,0,1,35,1,2,1,1,0,0,0,female,313
2,24,0,8,1275,3,0,1,2,3,3,36,1,2,1,1,0,1,0,male,86
1,24,4,2,3972,4,1,1,2,3,1,25,1,0,0,1,0,1,0,female,485
1,15,0,2,3343,4,0,2,2,0,2,28,1,1,0,1,0,1,0,male,366
2,15,4,7,392,4,2,2,2,3,1,23,1,0,0,1,0,1,0,female,61
1,9,0,5,2134,4,0,2,2,3,0,48,1,2,2,1,0,1,0,male,295
1,30,0,4,5771,4,1,2,2,0,0,25,1,2,1,1,0,0,0,female,243
1,24,0,8,4526,4,0,0,2,0,3,74,1,2,0,0,0,1,0,male,580
1,15,0,2,2788,4,1,1,0,1,0,24,0,2,1,1,0,0,0,female,382
1,6,0,4,1382,4,0,3,2,2,0,28,1,2,1,1,0,1,0,female,162
2,36,4,4,5848,4,0,2,2,2,0,24,1,2,0,1,0,0,0,male,1078
3,12,4,5,1228,4,0,2,2,0,3,24,1,2,0,3,0,0,0,female,-610
2,12,4,4,1297,4,0,0,2,3,3,23,1,0,0,1,0,0,0,female,439
1,24,4,4,1552,4,1,0,2,2,0,32,0,2,0,1,1,0,0,male,127
1,12,4,4,1963,4,1,2,2,0,0,31,1,0,1,0,1,1,0,male,417
1,24,4,4,3235,2,3,0,2,0,0,36,1,2,0,0,0,1,0,male,277
1,24,0,8,4139,0,0,0,2,1,1,27,1,2,1,3,0,1,0,male,756
0,12,0,1,1804,0,2,0,2,3,1,44,1,2,0,1,0,0,0,male,629
1,18,4,8,1950,4,1,2,2,2,0,34,2,2,1,1,0,1,0,male,454
1,48,3,4,12749,2,1,2,2,2,0,37,1,2,0,0,0,1,0,male,1667
1,9,4,6,1236,4,2,3,2,3,3,23,1,0,0,1,0,1,0,female,317
1,18,0,5,1055,4,2,2,2,2,1,30,1,2,1,1,0,0,0,female,384
3,30,2,8,8072,1,2,1,2,1,0,25,0,2,2,1,0,0,0,nonbinary/notreported,1323
1,30,0,4,2831,4,0,2,2,0,0,33,1,2,0,1,0,1,0,female,377
1,9,4,8,1449,4,1,0,2,0,0,27,1,2,1,1,0,0,0,female,248
1,36,4,8,5742,0,1,1,2,0,0,31,1,2,1,1,0,1,0,male,1489
1,12,4,5,2390,1,3,2,2,1,0,50,1,2,0,1,0,1,0,male,459
1,24,4,4,3430,2,3,0,2,0,0,31,1,2,0,1,1,1,0,male,603
0,36,4,7,2273,4,1,0,2,2,0,32,1,2,1,1,1,0,0,male,339
2,21,4,5,2923,0,0,3,2,2,0,28,0,2,0,0,0,1,0,female,133
1,24,4,4,1901,0,0,2,2,3,0,29,1,0,0,0,0,1,0,male,78
0,36,4,7,3711,1,0,1,2,0,0,27,1,2,0,1,0,0,0,nonbinary/notreported,777
0,48,4,5,8487,1,1,3,2,0,0,24,1,2,0,1,0,0,0,female,1644
1,24,4,5,2255,1,2,2,2,2,1,54,1,2,0,1,0,0,0,male,268
1,12,4,4,1262,4,0,0,2,0,0,25,1,2,0,1,0,0,0,male,474
1,33,0,1,7253,4,1,0,2,0,0,35,1,2,1,0,0,1,0,male,1146
1,6,0,5,6761,4,1,3,2,1,2,45,1,2,1,0,1,1,0,male,135
1,18,0,2,1817,4,0,2,2,0,2,28,1,2,1,1,0,0,0,female,115
1,12,4,4,2141,0,1,0,2,2,2,35,1,2,0,1,0,0,0,male,148
1,48,1,8,3609,4,0,3,2,2,3,27,2,2,0,1,0,0,0,female,586
1,30,4,4,2333,2,3,2,2,0,0,30,0,2,0,0,0,0,0,male,483
1,28,1,1,7824,1,2,0,1,3,3,40,0,0,1,1,1,1,0,male,1715
2,18,1,4,1445,1,1,2,2,3,0,49,0,2,0,3,0,0,0,male,325
3,24,4,2,7721,1,2,3,2,0,1,30,1,2,0,1,0,1,1,female,624
3,21,4,5,3763,1,1,1,0,0,3,24,1,2,0,3,0,0,1,male,733
0,18,4,8,4439,4,3,3,0,2,3,33,0,2,0,0,0,1,0,male,416
3,12,4,4,1107,4,0,1,2,0,3,20,1,0,0,0,1,1,0,male,335
0,15,4,4,1444,1,2,2,2,2,1,23,1,2,0,1,0,0,0,male,301
0,48,1,5,12169,1,4,2,0,3,2,36,1,1,0,0,0,1,0,male,2157
1,9,4,4,2753,0,3,0,0,3,0,35,1,2,0,1,0,1,0,male,300
2,4,4,5,1494,1,2,3,2,0,3,29,1,2,0,3,1,0,1,male,226
3,24,1,2,2828,2,0,2,2,3,3,22,2,2,0,1,0,1,0,male,1113
3,24,1,2,2483,2,0,2,2,3,3,22,2,2,0,1,0,1,0,male,356
2,6,0,5,1299,4,0,3,2,2,3,74,1,2,2,2,1,0,1,male,99
0,9,4,5,1549,1,2,2,2,0,3,35,1,2,0,2,0,0,0,male,400
2,10,4,5,3949,4,2,3,1,2,1,37,1,2,0,3,1,0,0,male,385
1,10,4,1,2901,1,2,3,2,3,3,31,1,0,0,1,0,0,0,female,418
2,6,4,5,709,3,2,1,2,0,3,27,1,2,0,2,0,0,1,female,142
3,47,4,5,10722,4,2,3,2,2,3,35,1,2,0,3,0,1,0,female,1095
1,10,4,5,1287,1,3,2,0,0,1,45,1,2,0,3,0,0,1,male,553
3,18,1,4,1940,4,2,0,0,3,2,36,0,1,0,0,0,1,0,male,161
2,30,0,4,3656,1,3,2,2,3,1,49,2,2,1,3,0,0,0,male,882
1,24,3,1,4679,4,1,0,2,1,0,35,1,2,1,3,0,1,0,male,257
1,27,3,1,8613,3,0,1,2,0,0,27,1,2,1,1,0,0,0,male,2619
3,18,4,2,2659,3,0,2,2,0,0,28,1,2,0,1,0,0,0,male,286
1,24,0,4,1516,3,0,2,2,2,3,43,1,2,1,3,0,0,0,female,278
3,18,4,5,4380,0,0,0,2,3,0,35,1,2,0,3,1,1,0,male,766
1,14,3,5,802,4,0,2,2,0,0,27,1,2,1,3,0,0,0,male,113
1,21,4,8,1572,3,3,2,2,3,3,36,0,2,0,3,0,0,0,female,198
0,48,1,8,3566,0,1,2,2,0,0,30,1,2,0,1,0,0,0,male,310
1,24,4,4,1278,4,3,2,2,2,3,36,1,2,0,0,0,1,0,nonbinary/notreported,288
1,6,2,4,426,4,3,2,2,3,0,39,1,2,0,3,0,0,0,female,31
1,39,4,1,8588,0,3,2,2,0,0,45,1,2,0,0,0,1,0,male,298
3,30,4,1,3857,4,0,2,2,3,1,40,1,2,0,0,0,1,0,male,240
0,12,4,5,685,4,1,1,2,1,0,25,0,2,0,3,0,0,0,female,-268
3,24,4,4,1603,4,3,2,2,3,0,55,1,2,0,1,0,0,0,female,339
1,21,4,2,2241,4,3,2,2,0,3,50,1,2,1,1,0,0,0,male,86
3,24,4,4,2384,4,3,2,2,3,3,64,0,0,0,3,0,0,0,male,103
1,4,4,2,601,4,2,3,2,1,3,23,1,0,0,3,1,0,0,nonbinary/notreported,118
1,39,4,1,2569,2,0,2,2,3,0,24,1,2,0,1,0,0,0,male,809
1,15,0,4,1316,2,0,1,2,0,1,47,1,2,1,3,0,0,0,female,305
1,60,4,5,10366,4,3,1,2,3,1,42,1,2,0,0,0,1,0,male,1943
1,18,4,8,1568,0,0,0,2,3,1,24,1,0,0,3,0,0,0,female,189
1,18,0,4,629,2,3,2,2,1,1,32,0,2,1,0,0,1,0,male,141
1,6,1,4,1750,2,3,1,2,3,1,45,0,2,0,3,1,0,0,male,524
1,24,4,1,3488,0,1,0,2,3,0,23,1,2,0,1,0,0,0,female,1346
1,18,0,4,1800,4,0,2,2,0,0,24,1,2,1,1,0,0,0,male,507
1,24,3,2,4151,0,0,1,2,1,1,35,1,2,1,1,0,0,0,male,397
0,15,4,3,2631,0,0,0,2,0,3,25,1,2,0,3,0,0,0,female,459
1,21,4,1,5248,1,0,3,2,1,0,26,1,2,0,1,0,0,0,male,899
0,18,3,5,2899,1,3,2,2,3,0,43,1,2,0,1,1,0,0,male,246
0,18,3,3,6204,4,0,1,2,3,3,44,1,2,0,3,1,1,0,male,967
1,12,4,4,804,4,3,2,2,3,0,38,1,2,0,1,0,0,0,male,200
1,36,4,4,3595,4,3,2,2,0,0,28,1,2,0,1,0,0,0,nonbinary/notreported,307
1,36,0,1,5711,3,3,2,2,0,0,38,1,2,1,0,0,1,0,male,155
2,15,4,8,2687,4,1,1,2,3,1,26,1,0,0,1,0,1,0,male,667
3,15,3,2,3643,4,3,3,2,3,1,27,1,2,1,3,0,0,0,female,710
1,10,0,2,2146,4,2,3,2,1,3,23,1,0,1,1,0,0,0,female,749
3,10,4,4,2315,4,3,0,2,3,3,52,1,2,0,3,0,0,0,male,739
1,5,4,8,3448,4,1,3,2,3,3,74,1,2,0,3,0,0,0,male,1016
1,15,4,2,2708,4,2,1,2,1,1,27,0,2,1,3,0,0,0,male,444
1,11,0,5,1393,4,2,2,2,3,0,35,1,2,1,0,0,0,0,nonbinary/notreported,169
2,10,4,2,1275,4,2,2,2,0,1,23,1,2,0,1,0,0,0,female,22
1,9,4,2,1313,4,3,3,2,3,0,20,1,2,0,1,0,0,0,male,421
1,12,4,4,1493,4,2,2,2,1,0,34,1,2,0,1,1,0,0,female,346
1,22,4,4,2675,2,3,0,2,3,0,40,1,2,0,1,0,0,0,male,427
0,9,4,4,2118,4,0,1,2,0,3,37,1,2,0,3,1,0,0,male,422
1,36,4,5,909,2,3,2,2,3,1,36,1,2,0,1,0,0,0,male,224
1,12,0,2,1258,4,2,1,2,3,1,22,1,0,1,3,0,0,0,female,316
1,15,1,4,1569,0,3,2,2,3,0,34,0,2,0,3,1,0,0,male,453
1,6,4,1,1236,2,0,1,2,3,1,50,1,0,0,1,0,0,0,male,203
1,36,3,2,7678,2,1,1,2,3,0,40,1,2,1,1,0,1,0,female,1290
1,6,4,3,660,2,1,1,2,3,3,23,1,0,0,3,0,0,0,female,96
1,24,4,2,2835,2,3,0,2,3,1,53,1,2,0,1,0,0,0,male,204
1,24,4,1,2670,4,3,2,2,3,0,35,1,2,0,0,0,1,0,male,810
1,12,1,9,3447,2,0,2,2,1,3,35,1,2,0,3,1,0,0,nonbinary/notreported,961
1,15,4,4,3568,4,3,2,2,0,0,54,0,0,0,0,0,1,0,female,177
0,21,0,8,3652,4,1,1,2,1,1,27,1,2,1,1,0,0,0,male,599
3,24,4,4,3660,4,0,1,2,3,0,28,1,2,0,1,0,0,0,female,335
2,9,4,4,1126,0,3,1,2,3,3,49,1,2,0,1,0,0,0,male,167
2,6,3,4,683,4,2,1,2,2,1,29,0,2,0,1,0,0,0,female,75
2,12,4,2,2251,4,0,3,2,0,0,46,1,2,0,3,0,0,0,female,283
1,12,4,1,4675,1,2,3,2,3,0,20,1,0,0,1,0,0,0,female,1091
0,21,3,5,2353,4,0,3,2,3,1,47,1,2,1,1,0,0,0,male,619
3,21,4,4,3357,3,2,2,2,0,0,29,0,2,0,1,0,0,0,female,98
1,6,4,5,672,4,4,3,2,3,3,54,1,2,0,2,0,1,0,female,25
3,6,0,4,338,2,3,2,2,3,0,52,1,2,1,1,0,0,0,male,62
1,9,4,4,2697,4,0,3,2,0,3,32,1,2,0,1,1,0,0,male,350
1,9,4,5,2507,2,3,1,2,3,2,51,1,1,0,3,0,0,0,male,386
1,15,3,4,1478,4,0,2,2,1,3,33,0,2,1,1,0,0,0,female,99
1,12,0,7,3565,1,2,1,2,2,1,37,1,2,1,3,1,0,0,male,875
1,15,4,2,2221,2,0,1,2,3,0,20,1,0,0,1,0,0,0,female,606
1,6,0,4,1898,1,0,3,2,0,3,34,1,2,1,3,1,0,0,male,126
0,6,3,8,1449,0,3,3,2,0,0,31,0,2,1,1,1,0,0,male,531
1,15,3,2,960,3,1,0,2,0,1,30,1,2,1,1,0,0,0,female,66
1,36,4,1,8133,4,0,3,2,0,1,30,0,2,0,1,0,0,0,female,1777
1,9,4,2,2301,0,2,1,2,3,1,22,1,0,0,1,0,0,0,female,74
1,6,3,8,1743,0,0,3,2,0,3,34,1,2,1,3,0,0,0,male,76
0,12,4,2,983,3,2,3,2,3,3,19,1,0,0,3,0,0,0,female,292
1,18,3,4,2320,4,4,1,2,1,3,34,1,2,1,1,0,0,0,female,348
3,12,1,9,339,4,3,2,2,2,0,45,0,2,0,3,0,0,0,female,50
2,24,4,4,5152,4,1,2,2,0,0,25,0,2,0,1,0,0,0,male,732
2,24,4,2,3749,4,2,1,2,3,0,26,1,2,0,1,0,0,0,female,558
1,9,0,4,3074,1,0,3,2,0,3,33,1,2,1,1,1,0,0,male,439
2,9,4,4,745,4,0,0,2,0,3,28,1,2,0,3,0,0,0,female,-443
1,24,4,5,1469,0,3,2,2,3,3,41,1,0,0,3,0,0,0,female,285
3,6,4,2,1374,4,0,3,2,0,3,36,0,2,0,3,0,1,0,male,323
1,6,1,5,783,1,0,3,1,0,3,26,2,2,0,3,1,0,0,male,143
3,21,4,4,2606,4,2,2,2,3,1,28,1,0,0,0,0,1,0,female,330
1,54,2,1,9436,1,0,1,2,0,1,39,1,2,0,3,1,0,0,male,842
1,12,0,4,930,1,3,2,2,3,3,65,1,2,3,1,0,0,0,male,52
1,48,0,1,2751,1,3,2,2,1,0,38,1,2,1,1,1,1,0,male,617
1,6,0,5,250,3,0,1,2,0,3,41,0,2,1,3,0,0,0,female,31
0,24,4,5,1201,4,2,2,2,2,1,26,1,2,0,1,0,0,0,male,216
3,6,4,5,662,4,2,0,2,3,3,41,1,2,0,3,1,1,0,male,121
1,15,4,1,1300,1,3,2,2,3,2,45,0,1,0,1,1,0,0,male,151
1,24,1,8,1559,4,1,2,2,3,0,40,0,2,0,1,0,1,0,male,501
2,12,4,4,3016,4,0,0,2,2,0,24,1,2,0,1,0,0,0,female,179
